title_y,cluster_id
Blood Work,1
The International,1
Escape from L.A.,1
The Iron Giant,2
The Life Aquatic with Steve Zissou,1
Free State of Jones,1
The Life of David Gale,1
Man of the House,1
Run All Night,1
Eastern Promises,1
Into the Blue,1
The Messenger: The Story of Joan of Arc,1
Your Highness,1
Dream House,1
Mad City,0
Baby's Day Out,1
The Scarlet Letter,0
Fair Game,0
Domino,1
Jade,1
Gamer,1
Beautiful Creatures,1
Death to Smoochy,1
Zoolander 2,1
The Big Bounce,1
What Planet Are You From?,1
Drive Angry,1
Street Fighter: The Legend of Chun-Li,0
The One,1
The Adventures of Ford Fairlane,1
The Boat That Rocked,1
Traffic,1
Indiana Jones and the Last Crusade,2
Anna Karenina,3
Chappie,2
The Bone Collector,1
Panic Room,1
The Tooth Fairy,4
Three Kings,1
Child 44,1
Rat Race,1
K-PAX,1
Kate & Leopold,1
Bedazzled,1
The Cotton Club,0
3:10 to Yuma,1
Taken 3,1
Out of Sight,1
The Cable Guy,1
Earth,4
Dick Tracy,1
The Thomas Crown Affair,1
Riding in Cars with Boys,1
First Blood,3
Solaris,3
Happily N'Ever After,1
Mary Reilly,0
My Best Friend's Wedding,1
America's Sweethearts,0
Insomnia,1
Star Trek: First Contact,1
Jonah Hex,1
Courage Under Fire,1
Liar Liar,1
The Infiltrator,3
Inchon,0
The Flintstones,1
Taken 2,2
Scary Movie 3,1
Miss Congeniality,1
Journey to the Center of the Earth,1
The Princess Diaries 2: Royal Engagement,1
The Pelican Brief,1
The Client,1
The Bucket List,1
Patriot Games,1
Monster-in-Law,1
Prisoners,1
Training Day,1
Galaxy Quest,1
Scary Movie 2,1
The Muppets,2
Blade,1
Coach Carter,1
Changing Lanes,1
Anaconda,1
Coyote Ugly,1
Love Actually,1
A Bug's Life,2
From Hell,1
The Specialist,1
Tin Cup,1
"Yours, Mine and Ours",4
Kicking & Screaming,1
The Hitchhiker's Guide to the Galaxy,2
Fat Albert,4
Resident Evil: Extinction,1
Blended,1
Last Holiday,1
